28603 0 626178	Visualizing web site comparisons.
21039 0 358512	Representation of Temporal Knowledge.
27864 0 596719	Optimization of Nested Queries in a Distributed Relational Database.
19394 0 278426	Integrating Customer Value Considerations into Predictive Modeling.
3445 1 20332	Afsaneh Shirazi
666 1 12184	Asaf Adi
33601 3 6176	stopping
22408 0 436498	A Method for Reasoning with Structured and Continuous Attributes in the INLEN-2 Multistrategy Knowledge Discovery System.
18910 0 277468	Group Linkage.
32712 3 4608	weblogs
24827 0 551488	Combining Classifiers in Text Categorization.
13530 1 421445	Chai-Huat Ong
3879 1 23766	Michael Werman
4320 1 30084	Mikhail J. Atallah
13743 1 422230	Israel Gold
18381 0 276347	Transaction Time Support Inside a Database Engine.
21058 0 358567	Deductive Methods for Large Data Bases.
34079 3 6905	deleting
4290 1 29675	John Tolle
21619 0 360038	A Philosophical Encounter.
16837 0 116589	Error Analysis of Background Adaption.
30827 3 2162	element
23073 0 486892	Adaptive Generalized Estimation Equation with Bayes Classifier for the Job Assignment Problem.
18719 0 277117	A Partition-Based Approach to Graph Mining.
13917 1 422600	Istvan Cseri
33903 3 6653	inclusion
3642 1 20690	Christian Fritz
24041 0 504559	Annotated XML: queries and provenance.
33864 3 6605	datbases
18385 0 276354	Design and Evaluation of Algorithms to Compute the Transitive Closure of a Database Relation.
16349 0 86129	Using Path Information for Query Processing in Object-Oriented Database Systems.
16920 0 117712	Efficient Bundle Adjustment with Virtual Key Frames: A Hierarchical Approach to Multi-Frame Structure from Motion.
33947 3 6717	xxl
11051 1 260482	Aral Ege
20738 0 357741	Spaces of Theories with Ideal Refinement Operators.
4077 1 27053	Roger Levy
31425 3 2861	present
36249 3 10779	nrrc
2536 1 18291	Gregory Druck
35750 3 9827	chunkingless
5601 1 50798	Atsuyoshi Nakamura
25633 0 552688	Re-ranking search results using document-passage graphs.
23635 0 503799	Rewriting Queries Using Views in Description Logics.
30962 3 2315	usage
18753 0 277173	Mining Customer Value: From Association Rules to Direct Marketing.
25012 0 551759	Browsing in a Digital Library Collecting Linearly Arranged Documents.
29688 3 879	pagerank
34733 3 7990	stacked
3410 1 20262	Ariel D. Procaccia
21314 0 359268	Evolvable Hardware for Generalized Neural Networks.
34841 3 8207	abandonment
31437 3 2875	interchangeable
29550 3 729	different
2532 1 18281	Lakhdar Sais
1591 1 16386	Jay M. Ponte
10519 1 199352	Tianyi Jiang
36867 3 11748	appc
8655 1 125697	Tak W. Yan
14467 1 453702	Iris Miliaraki
17315 0 158962	Why Is Rule Learning Optimistic and How to Correct It.
26080 0 554810	A Data Model and Data Structures for Moving Objects Databases.
36630 3 11357	coma
208 1 4239	Abdur Chowdhury
2664 1 18625	Midori Tanaka
34396 3 7436	frontend
6793 1 85883	Matthias Bender
24644 0 551173	eBizSearch: a niche search engine for e-business.
28889 3 19	for
5022 1 38878	Franco Turini
31777 3 3299	rewards
37354 3 12612	realities
20927 0 358223	Learning Nested Concept Classes with Limited Storage.
12090 1 305350	Nabil Kamel
16447 0 86305	Using RankBoost to compare retrieval systems.
32086 3 3713	allen
1146 1 15521	Dennis F. Kibler
26715 0 556028	DBMS and AI: Is There any Common Point of View?
13566 1 421495	Budi Rahardjo
28511 0 625547	Selective hypertext induced topic search.
21321 0 359287	Understanding Spoken Natural Language with Omni-Directional Information Flow.
10445 1 195063	Masayuki Fujita
24773 0 551394	Query type classification for web document retrieval.
12883 1 366686	Yannis Vrahoritis
8594 1 124263	Joseph Sill
13339 1 421165	Abdelmoula El-Hamdouchi
26218 0 555095	CapBasED-AMS: A Capability-based and Event-driven Activity Management System.
6305 1 75356	Sylvie Guillaume
10629 1 214864	Jana Bauckmann
12727 1 366420	Ashley C. Lovell
488 1 9198	Roman Y. Shtykh
14806 0 8711	Towards a System Architecture Supporting Contextualized Learning.
2624 1 18496	Robert Nado
19756 0 308289	Bayesian Classifiers Are Large Margin Hyperplanes in a Hilbert Space.
24432 0 550860	Designing an Information Retrieval Interface Based on User Characteristics.
29056 3 197	examples
27628 0 596295	A Direct Access Terabit Archival Memory.
27980 0 596934	POREL: A Distributed Data Base on an Inhomogeneous Computer Network.
4142 1 27491	Binyamin Rosenfeld
12062 1 302319	Dan Sommerfield
3759 1 21353	Gene Cooperman
1585 1 16377	Deborah A. Dahl
23232 0 487279	Consistency Based Attribute Reduction.
14643 0 8188	Multiple-Goal Recognition from Low-Level Signals.
19287 0 278248	Mining Coverage-Based Fuzzy Rules by Evolutional Computation.
35887 3 10157	facilitators
37251 3 12413	unrolling
34646 3 7869	colors
31422 3 2858	thermodynamics
9763 1 165815	Prashant Pandey
37472 3 12887	unwrapping
367 1 6565	Shuting Xu
17246 0 158640	Learning Trading Rules with Inductive Logic Programming.
31810 3 3347	hypersurfaces
8431 1 117257	Turid Hedlund
3587 1 20572	Michael A. Goodrich
6387 1 77789	Fran?ois Bancilhon
30628 3 1909	linking
